document_id,input_path,output_path,source_parse_status,chunk_count,min_chars,max_chars,avg_chars,total_chars,under_min_count,over_max_count,status,note
CIRCULAR_111_2013_TT_BTC,data/processed/structured_documents/CIRCULAR_111_2013_TT_BTC.json,data/processed/chunks/CIRCULAR_111_2013_TT_BTC_chunks.json,OK,88,213,3593,2182.06,192021,1,0,OK,
CIRCULAR_119_2014_TT_BTC,data/processed/structured_documents/CIRCULAR_119_2014_TT_BTC.json,data/processed/chunks/CIRCULAR_119_2014_TT_BTC_chunks.json,OK,40,315,3591,2352.88,94115,0,0,OK,
CIRCULAR_151_2014_TT_BTC,data/processed/structured_documents/CIRCULAR_151_2014_TT_BTC.json,data/processed/chunks/CIRCULAR_151_2014_TT_BTC_chunks.json,OK,46,203,3591,2152.43,99012,1,0,OK,
CIRCULAR_20_2010_TT_BTC,data/processed/structured_documents/CIRCULAR_20_2010_TT_BTC.json,data/processed/chunks/CIRCULAR_20_2010_TT_BTC_chunks.json,OK,19,69,3598,2599,49381,1,0,OK,
CIRCULAR_92_2015_TT_BTC,data/processed/structured_documents/CIRCULAR_92_2015_TT_BTC.json,data/processed/chunks/CIRCULAR_92_2015_TT_BTC_chunks.json,OK,50,282,3590,2322.96,116148,1,0,OK,
DECREE_12_2015_ND_CP,data/processed/structured_documents/DECREE_12_2015_ND_CP.json,data/processed/chunks/DECREE_12_2015_ND_CP_chunks.json,OK,26,677,3596,2793.54,72632,0,0,OK,
DECREE_65_2013_ND_CP,data/processed/structured_documents/DECREE_65_2013_ND_CP.json,data/processed/chunks/DECREE_65_2013_ND_CP_chunks.json,OK,38,150,3526,1267.76,48175,3,0,OK,
DECREE_91_2014_ND_CP,data/processed/structured_documents/DECREE_91_2014_ND_CP.json,data/processed/chunks/DECREE_91_2014_ND_CP_chunks.json,OK,8,1245,3467,2531.25,20250,0,0,OK,
DISPATCH_12764_CTHN_TTHT,data/processed/structured_documents/DISPATCH_12764_CTHN_TTHT.json,data/processed/chunks/DISPATCH_12764_CTHN_TTHT_chunks.json,NO_ARTICLE_FOUND,2,735,3595,2165,4330,0,0,OK,
DISPATCH_13510_CTHN_TTHT,data/processed/structured_documents/DISPATCH_13510_CTHN_TTHT.json,data/processed/chunks/DISPATCH_13510_CTHN_TTHT_chunks.json,NO_ARTICLE_FOUND,2,3391,3567,3479,6958,0,0,OK,
