document_id,local_path,output_path,status,extractor,page_count,char_count,warning,error
CIRCULAR_111_2013_TT_BTC,data/raw/circulars/111-2013-TT-BTC.doc,data\processed\extracted_text\CIRCULAR_111_2013_TT_BTC.txt,success,legacy-doc-utf16le,,181812,Legacy .doc file extracted with best-effort UTF-16 fallback.,
CIRCULAR_119_2014_TT_BTC,data/raw/circulars/119-2014-TT-BTC.pdf,data\processed\extracted_text\CIRCULAR_119_2014_TT_BTC.txt,success,pymupdf,37,98148,,
CIRCULAR_151_2014_TT_BTC,data/raw/circulars/151-2014-TT-BTC.pdf,data\processed\extracted_text\CIRCULAR_151_2014_TT_BTC.txt,success,pymupdf,43,103340,,
CIRCULAR_20_2010_TT_BTC,data/raw/circulars/20-2010-TT-BTC.doc,data\processed\extracted_text\CIRCULAR_20_2010_TT_BTC.txt,success,legacy-doc-utf16le,,55912,Legacy .doc file extracted with best-effort UTF-16 fallback.,
JOINT_CIRCULAR_206_2013_TTLT_BTC_BCA,data/raw/circulars/206-2013-TTLT-BTC-BCA.doc,data\processed\extracted_text\JOINT_CIRCULAR_206_2013_TTLT_BTC_BCA.txt,success,legacy-doc-utf16le,,24321,Legacy .doc file extracted with best-effort UTF-16 fallback.,
JOINT_CIRCULAR_212_2013_TTLT_BTC_BQP,data/raw/circulars/212-2013-TTLT-BTC-BQP.doc,data\processed\extracted_text\JOINT_CIRCULAR_212_2013_TTLT_BTC_BQP.txt,success,legacy-doc-utf16le,,25015,Legacy .doc file extracted with best-effort UTF-16 fallback.,
CIRCULAR_92_2015_TT_BTC,data/raw/circulars/92-2015-TT-BTC.doc,data\processed\extracted_text\CIRCULAR_92_2015_TT_BTC.txt,success,legacy-doc-utf16le,,115670,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DECREE_12_2015_ND_CP,data/raw/decrees/12-2015-ND-CP.doc,data\processed\extracted_text\DECREE_12_2015_ND_CP.txt,success,legacy-doc-utf16le,,66981,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DECREE_65_2013_ND_CP,data/raw/decrees/65-2013-ND-CP.doc,data\processed\extracted_text\DECREE_65_2013_ND_CP.txt,success,legacy-doc-utf16le,,47976,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DECREE_91_2014_ND_CP,data/raw/decrees/91-2014-ND-CP.doc,data\processed\extracted_text\DECREE_91_2014_ND_CP.txt,success,legacy-doc-utf16le,,20862,Legacy .doc file extracted with best-effort UTF-16 fallback.,
LAW_109_2025_QH15,data/raw/laws/109-2025-QH15.doc,data\processed\extracted_text\LAW_109_2025_QH15.txt,success,legacy-doc-utf16le,,29662,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DISPATCH_12764_CTHN_TTHT,data/raw/official_dispatches/12764-CTHN-TTHT.pdf,data\processed\extracted_text\DISPATCH_12764_CTHN_TTHT.txt,success,pymupdf,2,4455,,
DISPATCH_13510_CTHN_TTHT,data/raw/official_dispatches/13510-CTHN-TTHT.doc,data\processed\extracted_text\DISPATCH_13510_CTHN_TTHT.txt,success,legacy-doc-utf16le,,7116,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DISPATCH_13762_CTHN_HKDCN,data/raw/official_dispatches/13762-CTHN-HKDCN.doc,data\processed\extracted_text\DISPATCH_13762_CTHN_HKDCN.txt,success,legacy-doc-utf16le,,24385,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DISPATCH_19297_CTHN_TTHT,data/raw/official_dispatches/19297-CTHN-TTHT.pdf,data\processed\extracted_text\DISPATCH_19297_CTHN_TTHT.txt,success,pymupdf,2,3220,,
DISPATCH_20479_CT_TTHT,data/raw/official_dispatches/20479-CT-TTHT.pdf,data\processed\extracted_text\DISPATCH_20479_CT_TTHT.txt,success,pymupdf,2,4040,,
DISPATCH_24601_CTHN_TTHT,data/raw/official_dispatches/24601-CTHN-TTHT.doc,data\processed\extracted_text\DISPATCH_24601_CTHN_TTHT.txt,success,legacy-doc-utf16le,,5623,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DISPATCH_26215_CTHN_TTHT,data/raw/official_dispatches/26215-CTHN-TTHT.doc,data\processed\extracted_text\DISPATCH_26215_CTHN_TTHT.txt,success,legacy-doc-utf16le,,4155,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DISPATCH_3177_TCT_DNNCN,data/raw/official_dispatches/3177-TCT-DNNCN.doc,data\processed\extracted_text\DISPATCH_3177_TCT_DNNCN.txt,success,legacy-doc-utf16le,,5621,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DISPATCH_33037_CTHN_TTHT,data/raw/official_dispatches/33037-CTHN-TTHT.doc,data\processed\extracted_text\DISPATCH_33037_CTHN_TTHT.txt,success,legacy-doc-utf16le,,4696,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DISPATCH_3469_CTHN_TTHT,data/raw/official_dispatches/3469-CTHN-TTHT.doc,data\processed\extracted_text\DISPATCH_3469_CTHN_TTHT.txt,success,legacy-doc-utf16le,,8529,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DISPATCH_388_CTHN_TTHT,data/raw/official_dispatches/388-CTHN-TTHT.doc,data\processed\extracted_text\DISPATCH_388_CTHN_TTHT.txt,success,legacy-doc-utf16le,,5967,Legacy .doc file extracted with best-effort UTF-16 fallback.,
DISPATCH_41573_CTHN_TTHT,data/raw/official_dispatches/41573-CTHN-TTHT.doc,data\processed\extracted_text\DISPATCH_41573_CTHN_TTHT.txt,success,legacy-doc-utf16le,,7170,Legacy .doc file extracted with best-effort UTF-16 fallback.,
