document_id,input_path,output_path,article_count,clause_count,point_count,paragraph_count,status,note
CIRCULAR_111_2013_TT_BTC,data\processed\cleaned_text\CIRCULAR_111_2013_TT_BTC.txt,data\processed\structured_documents\CIRCULAR_111_2013_TT_BTC.json,30,104,181,0,OK,
CIRCULAR_119_2014_TT_BTC,data\processed\cleaned_text\CIRCULAR_119_2014_TT_BTC.txt,data\processed\structured_documents\CIRCULAR_119_2014_TT_BTC.json,9,86,43,0,OK,
CIRCULAR_151_2014_TT_BTC,data\processed\cleaned_text\CIRCULAR_151_2014_TT_BTC.txt,data\processed\structured_documents\CIRCULAR_151_2014_TT_BTC.json,25,22,29,0,OK,
CIRCULAR_20_2010_TT_BTC,data\processed\cleaned_text\CIRCULAR_20_2010_TT_BTC.txt,data\processed\structured_documents\CIRCULAR_20_2010_TT_BTC.json,3,24,0,0,OK,
CIRCULAR_92_2015_TT_BTC,data\processed\cleaned_text\CIRCULAR_92_2015_TT_BTC.txt,data\processed\structured_documents\CIRCULAR_92_2015_TT_BTC.json,25,78,89,0,OK,
DECREE_12_2015_ND_CP,data\processed\cleaned_text\DECREE_12_2015_ND_CP.txt,data\processed\structured_documents\DECREE_12_2015_ND_CP.json,6,98,62,0,OK,
DECREE_65_2013_ND_CP,data\processed\cleaned_text\DECREE_65_2013_ND_CP.txt,data\processed\structured_documents\DECREE_65_2013_ND_CP.json,34,105,122,0,OK,
DECREE_91_2014_ND_CP,data\processed\cleaned_text\DECREE_91_2014_ND_CP.txt,data\processed\structured_documents\DECREE_91_2014_ND_CP.json,5,25,5,0,OK,
DISPATCH_12764_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_12764_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_12764_CTHN_TTHT.json,0,0,0,44,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_13510_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_13510_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_13510_CTHN_TTHT.json,0,0,0,52,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_13762_CTHN_HKDCN,data\processed\cleaned_text\DISPATCH_13762_CTHN_HKDCN.txt,data\processed\structured_documents\DISPATCH_13762_CTHN_HKDCN.json,0,0,0,112,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_19297_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_19297_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_19297_CTHN_TTHT.json,0,0,0,29,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_20479_CT_TTHT,data\processed\cleaned_text\DISPATCH_20479_CT_TTHT.txt,data\processed\structured_documents\DISPATCH_20479_CT_TTHT.json,0,0,0,39,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_24601_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_24601_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_24601_CTHN_TTHT.json,0,0,0,51,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_26215_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_26215_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_26215_CTHN_TTHT.json,0,0,0,37,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_3177_TCT_DNNCN,data\processed\cleaned_text\DISPATCH_3177_TCT_DNNCN.txt,data\processed\structured_documents\DISPATCH_3177_TCT_DNNCN.json,0,0,0,49,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_33037_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_33037_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_33037_CTHN_TTHT.json,0,0,0,44,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_3469_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_3469_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_3469_CTHN_TTHT.json,0,0,0,58,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_388_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_388_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_388_CTHN_TTHT.json,0,0,0,54,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_41573_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_41573_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_41573_CTHN_TTHT.json,0,0,0,37,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_4172_TCT_DNNCN,data\processed\cleaned_text\DISPATCH_4172_TCT_DNNCN.txt,data\processed\structured_documents\DISPATCH_4172_TCT_DNNCN.json,0,0,0,36,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_4418_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_4418_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_4418_CTHN_TTHT.json,0,0,0,38,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_45194_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_45194_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_45194_CTHN_TTHT.json,0,0,0,40,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_4888_TCT_DNNCN,data\processed\cleaned_text\DISPATCH_4888_TCT_DNNCN.txt,data\processed\structured_documents\DISPATCH_4888_TCT_DNNCN.json,0,0,0,26,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_5001_TCT_DNNCN,data\processed\cleaned_text\DISPATCH_5001_TCT_DNNCN.txt,data\processed\structured_documents\DISPATCH_5001_TCT_DNNCN.json,0,0,0,45,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_6097_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_6097_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_6097_CTHN_TTHT.json,0,0,0,70,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_61175_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_61175_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_61175_CTHN_TTHT.json,0,0,0,50,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_61182_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_61182_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_61182_CTHN_TTHT.json,0,0,0,37,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_63646_CTHN_TTHT,data\processed\cleaned_text\DISPATCH_63646_CTHN_TTHT.txt,data\processed\structured_documents\DISPATCH_63646_CTHN_TTHT.json,0,0,0,6,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
DISPATCH_9208_CT_TTHT,data\processed\cleaned_text\DISPATCH_9208_CT_TTHT.txt,data\processed\structured_documents\DISPATCH_9208_CT_TTHT.json,0,0,0,25,NO_ARTICLE_FOUND,official_dispatch_paragraphs_only
JOINT_CIRCULAR_206_2013_TTLT_BTC_BCA,data\processed\cleaned_text\JOINT_CIRCULAR_206_2013_TTLT_BTC_BCA.txt,data\processed\structured_documents\JOINT_CIRCULAR_206_2013_TTLT_BTC_BCA.json,7,20,29,0,OK,
JOINT_CIRCULAR_212_2013_TTLT_BTC_BQP,data\processed\cleaned_text\JOINT_CIRCULAR_212_2013_TTLT_BTC_BQP.txt,data\processed\structured_documents\JOINT_CIRCULAR_212_2013_TTLT_BTC_BQP.json,6,19,29,0,OK,
LAW_109_2025_QH15,data\processed\cleaned_text\LAW_109_2025_QH15.txt,data\processed\structured_documents\LAW_109_2025_QH15.json,29,111,59,0,OK,
RESOLUTION_954_2020_UBTVQH14,data\processed\cleaned_text\RESOLUTION_954_2020_UBTVQH14.txt,,0,0,0,0,ERROR,Object of type datetime is not JSON serializable
